# ----------------------------------------
# Обзорный отчет о привлечении потенциальных клиентов
# Аккаунт: One1Game
# Ресурс: One1Game
# ----------------------------------------
#  
# Дата начала: 20260406
# Дата окончания: 20260704
Неделя N,Новые пользователи
0001,9
0002,8
0003,7
0004,8
0005,6
0006,9
0007,12
0008,12
0009,11
0010,8
0011,8
0012,11

# Дата начала: 20260406
# Дата окончания: 20260704
Неделя N,Вернувшиеся пользователи
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,1
0011,0
0012,0

# Дата начала: 20260406
# Дата окончания: 20260704
Неделя N,Одобренные лиды
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0

# Дата начала: 20260406
# Дата окончания: 20260704
Неделя N,Конвертированные лиды
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0

#  
# Дата начала: 20260406
# Дата окончания: 20260704
Платформа,Ключевые события


#  
# Дата начала: 20260406
# Дата окончания: 20260704
"Основная группа каналов, связанная с первым взаимодействием пользователя (Группа каналов по умолчанию)",Новые пользователи
Direct,98
Organic Search,11

# Насколько эффективно вы удерживаете пользователей?
# Дата начала: 20260524
# Дата окончания: 20260704
Дата,Неделя 0,Неделя 1,Неделя 2,Неделя 3,Неделя 4,Неделя 5
24 мая - 30 мая,12
31 мая - 6 июн.,12
7 июн. - 13 июн.,11
14 июн. - 20 июн.,8
21 июн. - 27 июн.,8
28 июн. - 4 июл.,11

#  
# Дата начала: 20260406
# Дата окончания: 20260704
Название аудитории,Активные пользователи
All Users,109

#  
# Дата начала: 20260406
# Дата окончания: 20260704
Город,Активные пользователи
Shanghai,7
Beijing,5
Guangzhou,4
Hangzhou,4
Chengdu,3
Lhasa,2
Ningbo,2
Novosibirsk,2
Qingdao,2
Zhangjiajie,2
Ashburn,1
Bayingolin Mongol Autonomous Prefecture,1
Boydton,1
Calgary,1
Cheyenne,1
Chicago,1
Chongqing,1
Dalian,1
Des Moines,1
Domodedovo,1
Dongguan,1
Jinan,1
Kashgar Prefecture,1
Krasnoyarsk,1
Lijiang,1
Moscow,1
Moses Lake,1
Nanjing,1
Phoenix,1
Pskov,1
Saint Petersburg,1
Samara,1
San Antonio,1
San Jose,1
Shantou,1
Skopje,1
Weihai,1
Wenzhou,1
Xilingol League,1
Yanbian Korean Autonomous Prefecture,1
Yekaterinburg,1
Yulin,1
Zhumadian,1

#  
# Дата начала: 20260406
# Дата окончания: 20260704
"Источник сеанса, настраиваемый вручную",Сеансы
bing,6
duckduckgo,6

#  
# Дата начала: 20260406
# Дата окончания: 20260704
День N
